model,artifact,dataset,variable,metric,depth_m,value
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,30,0.21920321559600853
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,50,0.01921016581176993
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,75,-0.09225570888272738
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,100,0.06424875350268078
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,125,0.10151382724083724
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,150,0.1639506419041058
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,200,0.10750067290586385
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,250,0.039269568971827096
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,300,0.04494825710970929
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,400,-0.045651075998811574
non-CCM,cnn_100_300_55.h5,independent,temperature,R2,500,-0.1552313058862831
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,10,3.240584949327716
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,20,3.2761504731596904
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,30,3.5840411239062453
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,50,3.7925368276313067
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,75,4.112288781029245
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,100,3.7568749619145803
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,125,3.3556141963747796
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,150,2.6219523227120813
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,200,1.494533579295694
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,250,0.6349359964300387
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,300,0.2589692749051711
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,400,0.11341697264382357
non-CCM,cnn_100_300_55.h5,independent,temperature,RMSE,500,0.09134624746980713
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,10,2.1204638226928223
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,20,2.242058993908527
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,30,2.422132527971842
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,50,2.665665398133961
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,75,2.991305698865148
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,100,2.8463361002025596
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,125,2.4903755687950526
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,150,1.9016030984879415
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,200,0.9525480128473647
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,250,0.38002362182998994
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,300,0.1669121094021653
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,400,0.08730831777702637
non-CCM,cnn_100_300_55.h5,independent,temperature,MAE,500,0.07180385286896245
